iter	MultiClass
0	1.468615039
1	1.217543674
2	1.092758272
3	0.9964449145
4	0.9312452064
5	0.8887402777
6	0.8628386206
7	0.8284123987
8	0.8084641775
9	0.7854969112
10	0.766800104
11	0.7523921654
12	0.7414362823
13	0.73013604
14	0.7180266873
15	0.7091617238
16	0.6937360055
17	0.6854803524
18	0.672299649
19	0.6643158822
20	0.6530467457
21	0.6475377151
22	0.6407134438
23	0.6361630357
24	0.6323716875
25	0.627487717
26	0.6212160339
27	0.6168535292
28	0.6128487965
29	0.6097110857
30	0.6027257864
31	0.5990491488
32	0.5961495524
33	0.5922074916
34	0.5895479001
35	0.5850739483
36	0.5812107619
37	0.5777952172
38	0.5741024998
39	0.5720082064
40	0.5690957957
41	0.567126803
42	0.5634176369
43	0.5612027018
44	0.558477184
45	0.5562857359
46	0.5544027359
47	0.5515013669
48	0.5490014032
49	0.5469536943
50	0.5450633513
51	0.5428925315
52	0.5408110754
53	0.5398209829
54	0.5381963929
55	0.5355769476
56	0.5333642548
57	0.5312754544
58	0.5291652201
59	0.5279720692
60	0.5268838131
61	0.5248533876
62	0.5225194891
63	0.5209840495
64	0.5195202184
65	0.5182265038
66	0.5169272593
67	0.5159853806
68	0.5135681345
69	0.5122918695
70	0.5109455774
71	0.5099787187
72	0.5082296218
73	0.5070811006
74	0.5059525636
75	0.5045234437
76	0.5029426436
77	0.5016847607
78	0.4992389693
79	0.4985723488
80	0.4969930991
81	0.4961735467
82	0.4948890032
83	0.4938635423
84	0.4930442697
85	0.4921214405
86	0.4911036407
87	0.4901576176
88	0.4896262407
89	0.4891206445
90	0.488271815
91	0.4867705271
92	0.48605514
93	0.4849867111
94	0.4840198048
95	0.4829344628
96	0.4823818355
97	0.481633282
98	0.4807428195
99	0.480263772
