iter	Passed	Remaining
0	5	535
1	10	530
2	16	525
3	21	518
4	26	507
5	32	501
6	36	487
7	41	480
8	46	469
9	52	468
10	57	462
11	62	457
12	67	450
13	73	449
14	78	447
15	84	444
16	90	439
17	95	434
18	100	427
19	105	423
20	110	416
21	126	449
22	132	444
23	138	437
24	143	429
25	158	452
26	164	443
27	169	436
28	175	428
29	180	421
30	186	414
31	191	407
32	197	401
33	203	394
34	208	386
35	213	378
36	218	371
37	223	364
38	229	359
39	235	353
40	241	347
41	247	342
42	253	336
43	259	330
44	265	324
45	270	317
46	275	310
47	281	305
48	286	298
49	292	292
50	297	285
51	302	279
52	307	272
53	312	266
54	317	259
55	322	253
56	327	247
57	333	241
58	338	234
59	343	228
60	348	222
61	353	216
62	358	210
63	364	204
64	369	199
65	375	193
66	380	187
67	385	181
68	390	175
69	395	169
70	401	163
71	406	157
72	411	152
73	416	146
74	421	140
75	427	134
76	432	129
77	438	123
78	443	117
79	449	112
80	454	106
81	460	100
82	465	95
83	470	89
84	476	84
85	481	78
86	486	72
87	492	67
88	497	61
89	503	55
90	508	50
91	513	44
92	517	38
93	523	33
94	528	27
95	533	22
96	538	16
97	543	11
98	548	5
99	553	0
